key,group,title,description,active,has_outrights
americanfootball_cfl,American Football,CFL,Canadian Football League,False,False
americanfootball_ncaaf,American Football,NCAAF,US College Football,True,False
americanfootball_ncaaf_championship_winner,American Football,NCAAF Championship Winner,US College Football Championship Winner,True,True
americanfootball_nfl,American Football,NFL,US Football,False,False
americanfootball_nfl_preseason,American Football,NFL Preseason,US Football,False,False
americanfootball_nfl_super_bowl_winner,American Football,NFL Super Bowl Winner,Super Bowl Winner 2026/2027,True,True
americanfootball_ufl,American Football,UFL,United Football League,True,False
aussierules_afl,Aussie Rules,AFL,Aussie Football,True,False
baseball_kbo,Baseball,KBO,KBO League,True,False
baseball_milb,Baseball,MiLB,Minor League Baseball,False,False
baseball_mlb,Baseball,MLB,Major League Baseball,True,False
baseball_mlb_preseason,Baseball,MLB Preseason,Major League Baseball,False,False
baseball_mlb_world_series_winner,Baseball,MLB World Series Winner,World Series Winner 2026,True,True
baseball_ncaa,Baseball,NCAA Baseball,US College Baseball,True,False
baseball_npb,Baseball,NPB,Nippon Professional Baseball,True,False
basketball_euroleague,Basketball,Basketball Euroleague,Basketball Euroleague,True,False
basketball_nba,Basketball,NBA,US Basketball,True,False
basketball_nba_all_stars,Basketball,NBA All Star,NBA - All Star Weekend,False,False
basketball_nba_championship_winner,Basketball,NBA Championship Winner,Championship Winner 2025/2026,True,True
basketball_nba_preseason,Basketball,NBA Preseason,US Basketball,False,False
basketball_nba_summer_league,Basketball,NBA Summer League,US Basketball,False,False
basketball_nbl,Basketball,NBL,AU National Basketball League,False,False
basketball_ncaab,Basketball,NCAAB,US College Basketball,False,False
basketball_ncaab_championship_winner,Basketball,NCAAB Championship Winner,US College Basketball Championship Winner,False,True
basketball_wnba,Basketball,WNBA,US Basketball,True,False
basketball_wncaab,Basketball,WNCAAB,US Women's College Basketball,False,False
boxing_boxing,Boxing,Boxing,Boxing Bouts,True,False
cricket_asia_cup,Cricket,Asia Cup,Asia Cup,False,False
cricket_big_bash,Cricket,Big Bash,Big Bash League,False,False
cricket_caribbean_premier_league,Cricket,CPLT20,Caribbean Premier League,False,False
cricket_icc_trophy,Cricket,ICC Champions Trophy,ICC Champions Trophy,False,False
cricket_icc_world_cup,Cricket,ICC World Cup,ICC World Cup,False,False
cricket_icc_world_cup_womens,Cricket,ICC Women's World Cup,ICC Women's World Cup,False,False
cricket_international_t20,Cricket,International Twenty20,International Twenty20,True,False
cricket_ipl,Cricket,IPL,Indian Premier League,True,False
cricket_odi,Cricket,One Day Internationals,One Day Internationals,True,False
cricket_psl,Cricket,Pakistan Super League,Pakistan Super League,True,False
cricket_t20_blast,Cricket,T20 Blast,T20 Blast,False,False
cricket_t20_world_cup,Cricket,T20 World Cup,T20 World Cup,False,False
cricket_test_match,Cricket,Test Matches,International Test Matches,False,False
cricket_the_hundred,Cricket,The Hundred,The Hundred,False,False
golf_masters_tournament_winner,Golf,Masters Tournament Winner,2026 Winner,False,True
golf_pga_championship_winner,Golf,PGA Championship Winner,2026 Winner,True,True
golf_the_open_championship_winner,Golf,The Open Winner,2026 Winner,True,True
golf_us_open_winner,Golf,US Open Winner,2026 Winner,True,True
handball_germany_bundesliga,Handball,Handball-Bundesliga,German HBL,False,False
icehockey_ahl,Ice Hockey,AHL,American Hockey League,True,False
icehockey_liiga,Ice Hockey,Liiga,Finnish SM League,True,False
icehockey_mestis,Ice Hockey,Mestis,Finnish Mestis League,False,False
icehockey_nhl,Ice Hockey,NHL,US Ice Hockey,True,False
icehockey_nhl_championship_winner,Ice Hockey,NHL Championship Winner,Stanley Cup Winner 2025/2026,True,True
icehockey_nhl_preseason,Ice Hockey,NHL Preseason,US Ice Hockey,False,False
icehockey_sweden_allsvenskan,Ice Hockey,HockeyAllsvenskan,Swedish Hockey Allsvenskan,True,False
icehockey_sweden_hockey_league,Ice Hockey,SHL,Swedish Hockey League,True,False
lacrosse_ncaa,Lacrosse,NCAA Lacrosse,College Lacrosse,True,False
lacrosse_pll,Lacrosse,PLL,Premier Lacrosse League,False,False
mma_mixed_martial_arts,Mixed Martial Arts,MMA,Mixed Martial Arts,True,False
politics_us_presidential_election_winner,Politics,US Presidential Elections Winner,2028 US Presidential Election Winner,True,True
rugbyleague_nrl,Rugby League,NRL,Aussie Rugby League,True,False
rugbyleague_nrl_state_of_origin,Rugby League,State of Origin,State of Origin series,True,False
rugbyunion_six_nations,Rugby Union,Six Nations,Six Nations Championship,False,False
soccer_africa_cup_of_nations,Soccer,Africa Cup of Nations,Africa Cup of Nations,False,False
soccer_argentina_primera_division,Soccer,Primera División - Argentina,Argentine Primera División,True,False
soccer_australia_aleague,Soccer,A-League,Aussie Soccer,True,False
soccer_austria_bundesliga,Soccer,Austrian Football Bundesliga,Austrian Soccer,True,False
soccer_belgium_first_div,Soccer,Belgium First Div,Belgian First Division A,True,False
soccer_brazil_campeonato,Soccer,Brazil Série A,Brasileirão Série A,True,False
soccer_brazil_serie_b,Soccer,Brazil Série B,Campeonato Brasileiro Série B,True,False
soccer_chile_campeonato,Soccer,Primera División - Chile,Campeonato Chileno,True,False
soccer_china_superleague,Soccer,Super League - China,Chinese Soccer,True,False
soccer_concacaf_gold_cup,Soccer,CONCACAF Gold Cup,CONCACAF Gold Cup,False,False
soccer_concacaf_leagues_cup,Soccer,Leagues Cup,CONCACAF Leagues Cup,False,False
soccer_conmebol_copa_america,Soccer,Copa América,CONMEBOL Copa América,False,False
soccer_conmebol_copa_libertadores,Soccer,Copa Libertadores,CONMEBOL Copa Libertadores,True,False
soccer_conmebol_copa_sudamericana,Soccer,Copa Sudamericana,CONMEBOL Copa Sudamericana,True,False
soccer_denmark_superliga,Soccer,Denmark Superliga,Danish Soccer,True,False
soccer_efl_champ,Soccer,Championship,EFL Championship,True,False
soccer_england_efl_cup,Soccer,EFL Cup,League Cup,False,False
soccer_england_league1,Soccer,League 1,EFL League 1,True,False
soccer_england_league2,Soccer,League 2,EFL League 2 ,True,False
soccer_epl,Soccer,EPL,English Premier League,True,False
soccer_fa_cup,Soccer,FA Cup,Football Association Challenge Cup,True,False
soccer_fifa_club_world_cup,Soccer,FIFA Club World Cup,FIFA Club World Cup,False,False
soccer_fifa_world_cup,Soccer,FIFA World Cup,FIFA World Cup 2026,True,False
soccer_fifa_world_cup_qualifiers_europe,Soccer,FIFA World Cup Qualifiers - Europe,FIFA World Cup Qualifiers - UEFA,False,False
soccer_fifa_world_cup_qualifiers_south_america,Soccer,FIFA World Cup Qualifiers - South America,FIFA World Cup Qualifiers - CONMEBOL,False,False
soccer_fifa_world_cup_winner,Soccer,FIFA World Cup Winner,FIFA World Cup Winner 2026,True,True
soccer_fifa_world_cup_womens,Soccer,FIFA Women's World Cup,FIFA Women's World Cup,False,False
soccer_finland_veikkausliiga,Soccer,Veikkausliiga - Finland,Finnish  Soccer,True,False
soccer_france_coupe_de_france,Soccer,Coupe de France,French Soccer,True,False
soccer_france_ligue_one,Soccer,Ligue 1 - France,French Soccer,True,False
soccer_france_ligue_two,Soccer,Ligue 2 - France,French Soccer,True,False
soccer_germany_bundesliga,Soccer,Bundesliga - Germany,German Soccer,True,False
soccer_germany_bundesliga2,Soccer,Bundesliga 2 - Germany,German Soccer,True,False
soccer_germany_bundesliga_women,Soccer,Frauen-Bundesliga,German Soccer,False,False
soccer_germany_dfb_pokal,Soccer,DFB-Pokal,German Soccer,True,False
soccer_germany_liga3,Soccer,3. Liga - Germany,German Soccer,True,False
soccer_greece_super_league,Soccer,Super League - Greece,Greek Soccer,True,False
soccer_italy_coppa_italia,Soccer,Coppa Italia,Italian Soccer,True,False
soccer_italy_serie_a,Soccer,Serie A - Italy,Italian Soccer,True,False
soccer_italy_serie_b,Soccer,Serie B - Italy,Italian Soccer,True,False
soccer_japan_j_league,Soccer,J League,Japan Soccer League,True,False
soccer_korea_kleague1,Soccer,K League 1,Korean Soccer,True,False
soccer_league_of_ireland,Soccer,League of Ireland,Airtricity League Premier Division,True,False
soccer_mexico_ligamx,Soccer,Liga MX,Mexican Soccer,True,False
soccer_netherlands_eredivisie,Soccer,Dutch Eredivisie,Dutch Soccer,True,False
soccer_norway_eliteserien,Soccer,Eliteserien - Norway,Norwegian Soccer,True,False
soccer_poland_ekstraklasa,Soccer,Ekstraklasa - Poland,Polish Soccer,True,False
soccer_portugal_primeira_liga,Soccer,Primeira Liga - Portugal,Portugese Soccer,True,False
soccer_russia_premier_league,Soccer,Premier League - Russia,Russian Soccer,True,False
soccer_saudi_arabia_pro_league,Soccer,Saudi Pro League,Saudi Soccer,True,False
soccer_spain_copa_del_rey,Soccer,Copa del Rey,Spanish Soccer,True,False
soccer_spain_la_liga,Soccer,La Liga - Spain,Spanish Soccer,True,False
soccer_spain_segunda_division,Soccer,La Liga 2 - Spain,Spanish Soccer,True,False
soccer_spl,Soccer,Premiership - Scotland,Scottish Premiership,True,False
soccer_sweden_allsvenskan,Soccer,Allsvenskan - Sweden,Swedish Soccer,True,False
soccer_sweden_superettan,Soccer,Superettan - Sweden,Swedish Soccer,True,False
soccer_switzerland_superleague,Soccer,Swiss Superleague,Swiss Soccer,True,False
soccer_turkey_super_league,Soccer,Turkey Super League,Turkish Soccer,True,False
soccer_uefa_champs_league,Soccer,UEFA Champions League,European Champions League,True,False
soccer_uefa_champs_league_qualification,Soccer,UEFA Champions League Qualification,European Champions League Qualification,False,False
soccer_uefa_champs_league_women,Soccer,UEFA Champions League Women,European Champions League Women,False,False
soccer_uefa_euro_qualification,Soccer,UEFA Euro Qualification,European Championship Qualification,False,False
soccer_uefa_europa_conference_league,Soccer,UEFA Europa Conference League,UEFA Europa Conference League,True,False
soccer_uefa_europa_league,Soccer,UEFA Europa League,European Europa League,True,False
soccer_uefa_european_championship,Soccer,UEFA Euro,UEFA European Championship,False,False
soccer_uefa_nations_league,Soccer,UEFA Nations League,UEFA Nations League,False,False
soccer_usa_mls,Soccer,MLS,Major League Soccer,True,False
tennis_atp_aus_open_singles,Tennis,ATP Australian Open,Men's Singles,False,False
tennis_atp_barcelona_open,Tennis,ATP Barcelona Open,Men's Singles,True,False
tennis_atp_canadian_open,Tennis,ATP Canadian Open,Men's Singles,False,False
tennis_atp_china_open,Tennis,ATP China Open,Men's Singles,False,False
tennis_atp_cincinnati_open,Tennis,ATP Cincinnati Open,Men's Singles,False,False
tennis_atp_dubai,Tennis,ATP Dubai,Men's Singles,False,False
tennis_atp_french_open,Tennis,ATP French Open,Men's Singles,False,False
tennis_atp_indian_wells,Tennis,ATP Indian Wells,Men's Singles,False,False
tennis_atp_italian_open,Tennis,ATP Italian Open,Men's Singles,False,False
tennis_atp_madrid_open,Tennis,ATP Madrid Open,Men's Singles,False,False
tennis_atp_miami_open,Tennis,ATP Miami Open,Men's Singles,False,False
tennis_atp_monte_carlo_masters,Tennis,ATP Monte-Carlo Masters,Men's Singles,False,False
tennis_atp_munich,Tennis,ATP Munich,Men's Singles,True,False
tennis_atp_paris_masters,Tennis,ATP Paris Masters,Men's Singles,False,False
tennis_atp_qatar_open,Tennis,ATP Qatar Open,Men's Singles,False,False
tennis_atp_shanghai_masters,Tennis,ATP Shanghai Masters,Men's Singles,False,False
tennis_atp_us_open,Tennis,ATP US Open,Men's Singles,False,False
tennis_atp_wimbledon,Tennis,ATP Wimbledon,Men's Singles,False,False
tennis_wta_aus_open_singles,Tennis,WTA Australian Open,Women's Singles,False,False
tennis_wta_canadian_open,Tennis,WTA Canadian Open,Women's Singles,False,False
tennis_wta_charleston_open,Tennis,WTA Charleston Open,Women's Singles,False,False
tennis_wta_china_open,Tennis,WTA China Open,Women's Singles,False,False
tennis_wta_cincinnati_open,Tennis,WTA Cincinnati Open,Women's Singles,False,False
tennis_wta_dubai,Tennis,WTA Dubai Championships,Women's Singles,False,False
tennis_wta_french_open,Tennis,WTA French Open,Women's Singles,False,False
tennis_wta_indian_wells,Tennis,WTA Indian Wells,Women's Singles,False,False
tennis_wta_italian_open,Tennis,WTA Italian Open,Women's Singles,False,False
tennis_wta_madrid_open,Tennis,WTA Madrid Open,Women's Singles,False,False
tennis_wta_miami_open,Tennis,WTA Miami Open,Women's Singles,False,False
tennis_wta_qatar_open,Tennis,WTA Qatar Open,Women's Singles,False,False
tennis_wta_stuttgart_open,Tennis,WTA Stuttgart Open,Women's Singles,True,False
tennis_wta_us_open,Tennis,WTA US Open,Women's Singles,False,False
tennis_wta_wimbledon,Tennis,WTA Wimbledon,Women's Singles,False,False
tennis_wta_wuhan_open,Tennis,WTA Wuhan Open,Women's Singles,False,False
